Cabrio
1 (215,255,255); (0,10,0); (89,94,98); (135,24,157); (0,156,222); (0,61,165); (197,232,108); (4,106,56); (120,47,64); (239,51,64); (152,37,81); (255,105,0); (254,219,0); (255,199,44);
2 (255,255,255); (0,0,110); (89,94,98); (135,24,157); (0,156,222); (0,61,165); (197,232,108); (4,106,56); (120,47,64); (239,51,64); (152,37,81); (255,105,0); (254,219,0); (255,199,44);
3 (215,255,255); (0,0,0); (89,94,98); (135,24,157); (0,156,222); (0,61,165); (197,232,108); (4,106,56); (120,47,64); (239,51,64); (152,37,81); (255,105,0); (254,219,0); (255,199,44);
4 (255,255,255); (0,20,0); (89,94,98); (135,24,157); (0,156,222); (0,61,165); (197,232,108); (4,106,56); (120,47,64); (239,51,64); (152,37,81); (255,105,0); (254,219,0); (255,199,44);
5 (255,255,255); (0,0,2); (89,94,98); (135,24,157); (0,156,222); (0,61,165); (197,232,108); (4,106,56); (120,47,64); (239,51,64); (152,37,81); (255,105,0); (254,219,0); (255,199,44);
6 (155,255,255); (210,0,0); (89,94,98); (135,24,157); (0,156,222); (0,61,165); (197,232,108); (4,106,56); (120,47,64); (239,51,64); (152,37,81); (255,105,0); (254,219,0); (255,199,44);

Orca6
1 (115,235,255); (20,0,0); (89,94,98); (135,24,157); (0,156,222); (0,61,165); (197,232,108); (4,106,56); (120,47,64); (239,51,64); (152,37,81); (255,105,0); (254,219,0); (255,199,44);
2 (225,255,255); (0,0,0); (89,94,98); (135,24,157); (0,156,222); (0,61,165); (197,232,108); (4,106,56); (120,47,64); (239,51,64); (152,37,81); (255,105,0); (254,219,0); (255,199,44);
3 (155,225,255); (40,0,0); (89,94,98); (135,24,157); (0,156,222); (0,61,165); (197,232,108); (4,106,56); (120,47,64); (239,51,64); (152,37,81); (255,105,0); (254,219,0); (255,199,44);
4 (255,255,255); (0,50,110); (89,94,98); (135,24,157); (0,156,222); (0,61,165); (197,232,108); (4,106,56); (120,47,64); (239,51,64); (152,37,81); (255,105,0); (254,219,0); (255,199,44);
5 (25,251,255); (0,40,0); (89,94,98); (135,24,157); (0,156,222); (0,61,165); (197,232,108); (4,106,56); (120,47,64); (239,51,64); (152,37,81); (255,105,0); (254,219,0); (255,199,44);
6 (44,255,255); (0,0,0); (89,94,98); (135,24,157); (0,156,222); (0,61,165); (197,232,108); (4,106,56); (120,47,64); (239,51,64); (152,37,81); (255,105,0); (254,219,0); (255,199,44);
